event,utc,lam,C,support_vectors,export_max_error,train_accuracy,validation_accuracy,test_accuracy
candidate,2026-09-23T10:09:49.495987+00:00,10000.0,0.0001,10800,4.7795471441736126e-08,0.9388889074325562,0.9333333373069763,0.9280000329017639
candidate,2026-09-23T10:09:50.567263+00:00,1000.0,0.001,9486,3.069908909303365e-07,0.9539814591407776,0.9491667151451111,0.9440000653266907
candidate,2026-09-23T10:09:51.004679+00:00,100.0,0.01,3379,3.4730603437616026e-07,0.9708333611488342,0.9625000357627869,0.9630000591278076
candidate,2026-09-23T10:09:51.263414+00:00,10.0,0.1,1298,1.475233457393088e-06,0.9854629635810852,0.9850000143051147,0.983500063419342
candidate,2026-09-23T10:09:51.514855+00:00,1.0,1.0,648,5.640595194034148e-06,0.9940740466117859,0.9916666746139526,0.9885000586509705
candidate,2026-09-23T10:09:51.746187+00:00,0.1,10.0,528,2.5644012483283518e-05,0.9999074339866638,0.9933333396911621,0.9925000667572021
candidate,2026-09-23T10:09:51.976823+00:00,0.01,100.0,515,3.055672914453744e-05,1.0,0.9933333396911621,0.9930000305175781
candidate,2026-09-23T10:09:52.207634+00:00,0.001,1000.0,515,3.055672914453744e-05,1.0,0.9933333396911621,0.9930000305175781
candidate,2026-09-23T10:09:52.438497+00:00,0.0001,10000.0,515,3.055672914453744e-05,1.0,0.9933333396911621,0.9930000305175781
candidate,2026-09-23T10:09:52.669482+00:00,1e-05,99999.99999999999,515,3.055672914453744e-05,1.0,0.9933333396911621,0.9930000305175781
candidate,2026-09-23T10:09:52.900470+00:00,1e-06,1000000.0,515,3.055672914453744e-05,1.0,0.9933333396911621,0.9930000305175781
