event,utc,epoch,train_accuracy,validation_accuracy,test_accuracy
epoch,2026-09-23T10:06:43.832312+00:00,1,0.9982407093048096,0.9900000095367432,0.9910000562667847
epoch,2026-09-23T10:06:43.843771+00:00,2,0.9996296167373657,0.9908333420753479,0.9915000200271606
epoch,2026-09-23T10:06:43.854876+00:00,3,0.9997222423553467,0.9941666722297668,0.9925000667572021
epoch,2026-09-23T10:06:43.865990+00:00,4,0.9999074339866638,0.9941666722297668,0.9930000305175781
epoch,2026-09-23T10:06:43.876887+00:00,5,1.0,0.9950000047683716,0.9925000667572021
epoch,2026-09-23T10:06:43.887724+00:00,6,1.0,0.9933333396911621,0.9930000305175781
epoch,2026-09-23T10:06:43.898485+00:00,7,1.0,0.9933333396911621,0.9935000538825989
epoch,2026-09-23T10:06:43.909307+00:00,8,1.0,0.9950000047683716,0.9940000176429749
epoch,2026-09-23T10:06:43.920079+00:00,9,1.0,0.9950000047683716,0.9935000538825989
epoch,2026-09-23T10:06:43.930893+00:00,10,1.0,0.9941666722297668,0.9930000305175781
epoch,2026-09-23T10:06:43.941718+00:00,11,1.0,0.9950000047683716,0.9930000305175781
epoch,2026-09-23T10:06:43.952647+00:00,12,1.0,0.9941666722297668,0.9930000305175781
epoch,2026-09-23T10:06:43.963417+00:00,13,1.0,0.9941666722297668,0.9935000538825989
epoch,2026-09-23T10:06:43.974243+00:00,14,1.0,0.9941666722297668,0.9930000305175781
epoch,2026-09-23T10:06:43.985034+00:00,15,1.0,0.9941666722297668,0.9940000176429749
